ticker,name,sector,industry,index,sector_etf
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,sp400,XLI
MOH,Molina Healthcare,Health Care,Managed Health Care,sp400,XLV
MORN,"Morningstar, Inc.",Financials,Financial Exchanges & Data,sp400,XLF
MP,MP Materials,Materials,Diversified Metals & Mining,sp400,XLB
MSA,MSA Safety,Industrials,Office Services & Supplies,sp400,XLI
MSM,MSC Industrial Direct,Industrials,Trading Companies & Distributors,sp400,XLI
MTDR,Matador Resources,Energy,Oil & Gas Exploration & Production,sp400,XLE
MTG,MGIC Investment Corporation,Financials,Reinsurance,sp400,XLF
MTN,Vail Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp400,XLY
MTSI,MACOM Technology Solutions,Information Technology,Semiconductors,sp400,XLK
MTZ,MasTec,Industrials,Construction & Engineering,sp400,XLI
MUR,Murphy Oil,Energy,Oil & Gas Exploration & Production,sp400,XLE
MUSA,Murphy USA,Consumer Discretionary,Automotive Retail,sp400,XLY
MZTI,The Marzetti Company,Consumer Staples,Packaged Foods & Meats,sp400,XLP
NBIX,Neurocrine Biosciences,Health Care,Biotechnology,sp400,XLV
NEU,NewMarket Corporation,Materials,Specialty Chemicals,sp400,XLB
NFG,National Fuel Gas,Utilities,Gas Utilities,sp400,XLU
NJR,New Jersey Resources,Utilities,Gas Utilities,sp400,XLU
NLY,Annaly Capital Management,Financials,Mortgage REITs,sp400,XLF
NNN,NNN Reit,Real Estate,Retail REITs,sp400,XLRE
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,sp400,XLE
NOVT,Novanta,Information Technology,Electronic Equipment & Instruments,sp400,XLK
NTNX,Nutanix,Information Technology,Systems Software,sp400,XLK
NVST,Envista Holdings,Health Care,Health Care Supplies,sp400,XLV
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment,sp400,XLI
NWE,NorthWestern Energy,Utilities,Multi-Utilities,sp400,XLU
NXST,Nexstar Media Group,Communication Services,Broadcasting,sp400,XLC
NXT,Nextpower,Industrials,Electrical Components & Equipment,sp400,XLI
NYT,New York Times Company,Communication Services,Publishing,sp400,XLC
OC,Owens Corning,Industrials,Building Products,sp400,XLI
OGE,OGE Energy,Utilities,Multi-Utilities,sp400,XLU
OGS,One Gas,Utilities,Gas Utilities,sp400,XLU
OHI,Omega Healthcare Investors,Real Estate,Health Care REITs,sp400,XLRE
OKTA,"Okta, Inc.",Information Technology,Application Software,sp400,XLK
OLED,Universal Display,Information Technology,Semiconductors,sp400,XLK
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,Broadline Retail,sp400,XLY
OLN,Olin Corporation,Materials,Diversified Chemicals,sp400,XLB
ONB,Old National Bank,Financials,Regional Banks,sp400,XLF
